ccode,idacr,leader,id,numexit,DICT2,DICT,starttime,shocktime,tenure,political.affiliation,eventtime,event,ugovt,rtpast,DICT3,shocktimet,poleff2,Z
91,HON,Zelaya,164,3,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
91,HON,Micheletti,165,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
91,HON,Lobo,166,1,democracy,0,0,5,5,fullhouse,3,1,fullhouse,,democracy,1,ins_all,1
91,HON,Hern<e1>ndez,167,-888,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,ins_all,1
310,HUN,Horn,168,1,democracy,0,1,5,5,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
310,HUN,Orban,169,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,ins_t_s,1
310,HUN,Peter Medgyessy,170,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,s_all,0
310,HUN,Ferenc Gyurcsany,171,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
310,HUN,Bajnai,172,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
310,HUN,Orban,173,-888,democracy,0,0,0,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
750,IND,Rao,174,1,democracy,0,4,6,6,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
750,IND,Vajpayee,175,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
750,IND,Gowda,176,1,democracy,0,0,1,2,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
750,IND,Gujral,177,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
750,IND,Vajpayee,178,1,democracy,0,0,7,7,Notfullhouse,6,1,Notfullhouse,,democracy,1,ins_t_s,1
750,IND,Manmohan Singh,179,1,democracy,0,0,11,11,Notfullhouse,1,1,Notfullhouse,,democracy,1,s_all,0
750,IND,Narendra Modi,180,-888,democracy,0,0,2,2,Notfullhouse,1,1,Notfullhouse,,democracy,1,s_all,0
850,INS,Wahid,183,1,democratized,2,1,3,3,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
850,INS,Megawati Sukarnoputri,184,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
850,INS,Bambang Yudhoyono,185,1,democracy,0,0,0,11,Notfullhouse,2,1,Notfullhouse,,democracy,1,ins_t_s,1
850,INS,Joko Widodo,186,-888,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,s_all,0
51,JAM,Patterson,187,1,democracy,0,3,15,15,fullhouse,12,0,fullhouse,,democracy,0,s_all,0
51,JAM,Simpson-Miller,188,1,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,s_all,0
51,JAM,Golding,189,1,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,s_all,0
51,JAM,Holness,190,1,democracy,0,0,5,5,fullhouse,1,1,fullhouse,,democracy,1,s_all,0
51,JAM,Simpson-Miller,191,-888,democracy,0,0,4,4,fullhouse,4,0,fullhouse,,democracy,0,s_all,0
367,LAT,Gailis,197,1,democracy,0,1,2,2,Notfullhouse,1,1,Notfullhouse,,democracy,1,ins_all,1
