"","ccode","idacr","leader","id","numentry","numexit","numexitcode","DICT","starttime","shocktime","tenure","political.affiliation","eventtime","event","ugovt","rtpast","DICT3","shock","polaffi2","Z"
"155",570,"LES","Mosisili",215,0,1,0,0,0,15,15,"Notfullhouse",8,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"156",570,"LES","Thabane",216,0,1,0,0,0,4,4,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"158",368,"LIT","Brazauskas",218,0,1,0,0,3,7,7,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"159",368,"LIT","Adamkus",219,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"160",368,"LIT","Paksas",220,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"shockt","1"
"162",368,"LIT","Adamkus",222,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"163",368,"LIT","Grybauskaite",223,0,-888,-888,0,0,7,7,"Notfullhouse",7,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"164",343,"MAC","Crvenkovski",224,0,1,0,0,3,7,7,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"165",343,"MAC","Georgievski",225,0,1,0,0,0,5,5,"Notfullhouse",3,1,"Notfullhouse",NA,"democracy",1,"ins_t_s","1"
"166",343,"MAC","Crvenkovski",226,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"170",343,"MAC","Vlado Buckovski",230,0,1,0,0,0,3,3,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"171",343,"MAC","Gruevski",231,0,-888,-888,0,0,10,10,"Notfullhouse",10,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"172",70,"MEX","Vicente Fox Quesada",236,0,1,0,2,0,7,7,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"173",70,"MEX","Calderon",237,0,1,0,0,0,7,7,"Notfullhouse",7,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"174",70,"MEX","Enrique Pena Nieto",238,0,-888,-888,0,0,4,4,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"s_all","0"
"175",359,"MLD","Snegur",239,0,1,0,0,5,8,8,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"176",359,"MLD","Lucinschi",240,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
